Sub,Percept,Cond,dB,Rep,Mean,dur_1,dur_2,dur_3,dur_4,dur_5,dur_6,dur_7,dur_8,dur_9,dur_10,dur_11,dur_12,dur_13,dur_14,dur_15,dur_16,dur_17,dur_18,dur_19,dur_20
Sub006,AM ,db001,1,2,8.18841695819563,3.93377597524523,11.921199560009,4.06515324107386,14.1311700380757,4.0600379874777,15.0730410480974,4.13454085739068,,,,,,,,,,,,,
Sub006,SIM,db002,2,2,7.95345867531168,4.12243631836463,6.97961821974604,17.4294153707197,8.5097270335682,12.413586506198,8.66881507745711,5.63042533336557,8.76086269621374,6.69604339336365,2.7331480687244,5.54396741070741,,,,,,,,,
Sub006,AM ,db002,2,2,8.47953033896358,4.19231345411754,7.07512904419127,3.04752091765477,3.61279140601619,7.11034364842271,9.49942210401787,8.45048491616035,3.41692171826799,10.8806698525004,35.4775335919076,0.511703075342666,,,,,,,,,
Sub006,SIM,db004,4,2,2.07170914461403,1.94859596778406,2.36158292494656,1.90941388226929,2.06724380345622,,,,,,,,,,,,,,,,
Sub006,AM ,db004,4,2,42.7640492239698,2.81363680544746,3.82873716494942,42.6814524420297,121.732370483453,,,,,,,,,,,,,,,,
Sub006,SIM,db006,6,2,2.35659069277851,1.94865627555191,3.11095442497026,2.9202474671547,1.92943894848577,2.15803137479452,2.07221566571388,,,,,,,,,,,,,,
Sub006,AM ,db006,6,2,27.3567755724453,43.6274375325411,5.65310971554936,3.22539579379009,36.4113631384171,23.4542201483746,51.7691271059994,,,,,,,,,,,,,,
Sub006,SIM,db0.5,0.5,3,14.8719438316543,41.4069969201337,17.7528209119118,6.90387679507694,4.74662332634034,5.21000608530812,31.6547896718439,10.0859292673304,1.2145076752895,,,,,,,,,,,,
Sub006,AM ,db0.5,0.5,3,8.66539389473629,30.116174575589,4.52286322037617,3.45425447247908,3.10106683800768,1.7980472472882,14.1226801157281,3.54267079368583,,,,,,,,,,,,,
Sub006,SIM,db001,1,3,27.1050882113384,17.4076067343231,31.558530132872,59.5395081644856,19.4157495662184,7.60404645879316,,,,,,,,,,,,,,,
Sub006,AM ,db001,1,3,10.3925808773693,2.97103623181829,14.3310787423798,4.97764666897274,19.2905618663062,,,,,,,,,,,,,,,,
Sub006,SIM,db002,2,3,10.0311841526578,20.1777292392908,4.88712952023707,18.4448522347375,8.80187262036998,12.0764295106419,11.3611171436714,4.22640562812376,5.02764469613976,13.6826467283208,1.62601420504507,,,,,,,,,,
